               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10462,            0.018253,            0.040738,            0.022176,            0.026667,            0.020682,           0.0053707,             0.06629,            0.011447,            0.030012,              0.0838,              0.0018,              0.0018
                   1,            0.080243,            0.023434,            0.038088,             0.04437,             0.96667,             0.15661,            0.057971,             0.04603,            0.012807,            0.028334,            0.066517,           0.0035168,           0.0035168
                   2,            0.067874,            0.025932,            0.035366,             0.12267,             0.45333,              0.1757,            0.058681,            0.041165,            0.011484,            0.026309,            0.049046,           0.0050456,           0.0050456
                   3,            0.059002,            0.023784,            0.032811,             0.20421,             0.56667,             0.25519,            0.087027,            0.037801,             0.01131,            0.025615,            0.031386,           0.0063862,           0.0063862
                   4,            0.058005,            0.020125,            0.032505,             0.15773,             0.48667,             0.21639,             0.09396,            0.044328,            0.011069,             0.02487,            0.013539,           0.0075388,           0.0075388
                   5,            0.055585,            0.018924,            0.032975,             0.19382,                0.56,             0.24196,              0.1005,            0.042248,            0.010387,            0.023661,            0.007525,            0.007525,            0.007525
                   6,            0.059411,            0.019307,            0.032781,             0.31842,             0.68667,             0.37599,             0.15392,            0.046811,           0.0084007,            0.023252,            0.007525,            0.007525,            0.007525
                   7,            0.054434,             0.01823,            0.031139,             0.40805,             0.61793,             0.48585,             0.22892,            0.043187,           0.0076737,            0.022743,             0.00703,             0.00703,             0.00703
                   8,            0.051067,            0.018594,            0.030685,             0.38492,             0.63712,             0.47256,             0.32077,            0.041295,            0.006857,            0.022032,            0.006535,            0.006535,            0.006535
                   9,            0.047036,            0.019349,            0.030248,             0.49306,             0.62022,             0.60694,             0.38371,             0.03268,           0.0063743,            0.021029,             0.00604,             0.00604,             0.00604
                  10,            0.046535,            0.017488,            0.029152,             0.47634,                 0.6,             0.58138,             0.31128,            0.039419,           0.0059068,            0.020299,            0.005545,            0.005545,            0.005545
                  11,            0.044677,            0.017409,            0.027114,             0.57928,              0.8632,             0.68705,             0.47563,            0.023606,           0.0057496,            0.019956,             0.00505,             0.00505,             0.00505
                  12,            0.038456,            0.017332,             0.02574,             0.55962,             0.87312,             0.67413,              0.4407,            0.023971,           0.0056338,            0.019204,            0.004555,            0.004555,            0.004555
                  13,            0.037755,            0.015852,            0.024593,             0.55728,             0.82407,             0.68876,             0.45864,            0.024444,           0.0054016,            0.018685,             0.00406,             0.00406,             0.00406
                  14,            0.035772,            0.014135,            0.025143,             0.62462,             0.93333,             0.75828,             0.60225,            0.018607,            0.005112,            0.018297,            0.003565,            0.003565,            0.003565
                  15,            0.032855,            0.014861,            0.023106,             0.61439,             0.83156,             0.73075,             0.52049,            0.022356,           0.0051681,            0.018187,             0.00307,             0.00307,             0.00307
                  16,            0.030588,            0.015349,            0.022454,             0.62937,             0.95105,             0.76232,              0.5913,             0.01668,           0.0050099,            0.017741,            0.002575,            0.002575,            0.002575
                  17,            0.029089,            0.014129,            0.024587,             0.63537,             0.92868,             0.77801,             0.61815,            0.015303,           0.0049435,            0.017758,             0.00208,             0.00208,             0.00208
                  18,            0.027711,            0.012584,             0.02142,             0.65418,             0.93206,             0.79294,             0.63373,            0.015257,           0.0048035,            0.016976,            0.001585,            0.001585,            0.001585
                  19,            0.027212,            0.014281,             0.02242,             0.67495,             0.92667,              0.7982,             0.65184,            0.013821,           0.0047212,            0.016405,             0.00109,             0.00109,             0.00109
