                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96042,                 2.8504,                 1.1564,                0.00539,                      1,                0.39638,                0.30901,                0.68354,                 2.8357,                0.90589,             0.00025722,             0.00025722,             0.00025722
                      2,                0.99196,                 2.1338,                 1.1504,                0.36305,                0.66819,                0.46805,                0.36564,                0.76896,                 2.1281,                0.93378,             0.00050256,             0.00050256,             0.00050256
                      3,                0.99936,                 1.6665,                 1.1619,                 0.4641,                0.80544,                0.60068,                0.46109,                0.85298,                 1.5781,                0.99371,             0.00072102,             0.00072102,             0.00072102
                      4,                  1.016,                 1.5786,                 1.1742,                0.52843,                0.85632,                0.64842,                0.49439,                0.90586,                 2.1528,                 1.0606,              0.0009126,              0.0009126,              0.0009126
                      5,                 1.1283,                 1.5468,                  1.255,                0.57422,                0.71771,                0.66012,                 0.4293,                 1.0418,                 2.7211,                 1.2128,              0.0010773,              0.0010773,              0.0010773
                      6,                 1.0009,                  1.402,                 1.1516,                0.50184,                0.73962,                0.64184,                0.40299,                 1.1057,                 2.5916,                 1.2608,              0.0010753,              0.0010753,              0.0010753
                      7,                 1.0872,                 1.4998,                 1.2017,                0.69169,                0.66972,                0.76026,                0.52856,                0.94067,                 1.9531,                 1.0643,              0.0010753,              0.0010753,              0.0010753
                      8,                 1.0024,                 1.4641,                 1.1413,                0.64822,                0.68719,                0.72381,                 0.5556,                0.80182,                 2.0168,                 0.9689,              0.0010046,              0.0010046,              0.0010046
                      9,                0.95073,                 1.3163,                 1.1411,                0.73257,                0.77529,                0.86507,                0.64656,                0.84982,                 1.5099,                 1.0097,             0.00093385,             0.00093385,             0.00093385
                     10,                 1.0155,                  1.293,                 1.1733,                0.70802,                0.87905,                0.88547,                0.66449,                0.82056,                 1.3113,                0.97715,             0.00086312,             0.00086312,             0.00086312
                     11,                0.84953,                 1.5557,                 1.0493,                0.72377,                0.79449,                0.85085,                0.61201,                0.91497,                 1.3841,                 1.0358,             0.00079238,             0.00079238,             0.00079238
                     12,                0.88286,                 1.6383,                 1.0457,                0.80053,                0.82534,                 0.8682,                0.67123,                0.81897,                 1.1655,                0.95175,             0.00072164,             0.00072164,             0.00072164
                     13,                0.78269,                   1.38,                 1.0065,                0.77984,                0.85586,                0.93076,                0.74513,                0.77471,                 1.1682,                0.92644,             0.00065091,             0.00065091,             0.00065091
                     14,                0.77034,                 1.3131,                0.98104,                0.86923,                0.91077,                0.95801,                0.77172,                 0.7864,                 1.0719,                0.92954,             0.00058017,             0.00058017,             0.00058017
                     15,                0.74433,                 1.1937,                0.97008,                 0.8563,                0.88751,                0.95276,                0.77802,                0.72066,                 1.1491,                0.91704,             0.00050944,             0.00050944,             0.00050944
                     16,                0.72647,                 1.1704,                0.93468,                0.89168,                0.94224,                0.98021,                0.80093,                0.71576,                0.96032,                0.90426,              0.0004387,              0.0004387,              0.0004387
                     17,                0.76072,                 1.1177,                0.94348,                0.96362,                0.97956,                0.99356,                0.81821,                0.67771,                0.88001,                0.89345,             0.00036797,             0.00036797,             0.00036797
                     18,                0.73318,                 1.0205,                0.94562,                0.97217,                0.98582,                0.99236,                0.83817,                0.64479,                0.81813,                0.87968,             0.00029723,             0.00029723,             0.00029723
                     19,                0.69456,                 1.0463,                0.95113,                0.96616,                0.96719,                0.98992,                0.84526,                0.63384,                0.77443,                0.87869,              0.0002265,              0.0002265,              0.0002265
                     20,                0.71814,                0.94919,                0.94858,                0.97566,                0.97719,                 0.9931,                0.84331,                0.63926,                 0.7446,                0.87478,             0.00015576,             0.00015576,             0.00015576
